LI-8100,LI-8100,LI-8100,,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,CHAMBER,LI-8100,CHAMBER,CHAMBER,LI-8100,LI-8100,LI-8100
DATE initial_value,DOY initial_value,PA initial_value,VOLUME_TOTAL,CO2 initial_value,CO2_DRY initial_value,TIMESTAMP_START,VOLUME,COMMENT,FCO2_DRY,AREA,VOLUME,ETIME initial_value,COLLAR_HEIGHT,FCO2_DRY R2,FCO2_DRY LIN_R2,FCO2_DRY LIN
[YYYY-MM-DD HH:MM:SS],[#],[kPa],[cm+3],[umol+1 mol-1],[umol+1 mol-1],[YYYYMMDDHHMMSS],[cm+3],[#],[umol+1m-2s-1],[cm+2],[cm+3],[s],[cm],[#],[#],[umol+1m-2s-1]
2022-10-18 10:22:57,291.432600,97.690000,3786.000000,402.290000,405.670000,20221018102257.000000,2197.000000,L12_NEE,-8.526400,314.000000,19.000000,0.000000,5.000000,0.999430,0.999430,-8.526400
2022-10-18 10:25:24,291.434310,98.070000,3786.000000,419.630000,424.310000,20221018102524.000000,2197.000000,L11_NEE,2.154060,314.000000,19.000000,0.000000,5.000000,0.994510,0.994510,2.154060
2022-10-18 10:27:33,291.435800,98.060000,3786.000000,408.890000,412.820000,20221018102733.000000,2197.000000,L13_NEE,1.740840,314.000000,19.000000,0.000000,5.000000,0.993820,0.993630,1.659380
2022-10-18 10:29:47,291.437350,98.160000,3786.000000,417.290000,420.280000,20221018102947.000000,2197.000000,L21_NEE,-3.196050,314.000000,19.000000,0.000000,5.000000,0.996100,0.996100,-3.196050
2022-10-18 10:31:45,291.438720,98.090000,3943.000000,410.300000,415.310000,20221018103145.000000,2197.000000,L22_NEE,-2.381490,314.000000,19.000000,0.000000,5.500000,0.997670,0.997670,-2.381490
2022-10-18 10:33:50,291.440160,98.110000,3786.000000,406.700000,411.790000,20221018103350.000000,2197.000000,L23_NEE,-5.172520,314.000000,19.000000,0.000000,5.000000,0.998540,0.998540,-5.172520
2022-10-18 10:36:26,291.441970,98.090000,3786.000000,407.560000,412.480000,20221018103626.000000,2197.000000,L31_NEE,-3.158250,314.000000,19.000000,0.000000,5.000000,0.996430,0.996430,-3.158250
2022-10-18 10:38:27,291.443370,98.130000,3943.000000,406.980000,411.920000,20221018103827.000000,2197.000000,L32_NEE,-8.587550,314.000000,19.000000,0.000000,5.500000,0.999110,0.999110,-8.587550
